timestamp,happy,sad,anger,fear,surprise,text,keystroke_type,key1,key2,time_ms
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,e,t,73.10000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,t, ,261.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,t, ,192.2999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,81.40000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,t, ,273.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press, ,e,665.8000000119209
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press, ,e,584.4000000059605
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,94.40000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release, ,e,678.8000000119209
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,e,Backspace,387.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,e,Backspace,293.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,99.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,e,Backspace,392.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,Backspace,Backspace,116.2999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,Backspace,Backspace,17.099999994039536
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,24.200000017881393
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,Backspace,Backspace,41.30000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,Backspace,a,198.80000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,Backspace,a,174.59999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,183.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,Backspace,a,358.09999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,a,u,187.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,a,u,4.299999982118607
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,89.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,a,u,94.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,u,j,228.10000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,u,j,138.2000000178814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,51.29999998211861
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,u,j,189.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,j,o,196.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,j,o,144.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,87.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,j,o,232.09999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,o,u,237.30000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,o,u,150.10000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,80.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,o,u,230.30000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,u,r,312.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,u,r,232
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,70.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,u,r,302.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,r,d,164.80000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,r,d,94.10000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,162.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,r,d,256.60000002384186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,d,h,470.2999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,d,h,307.7999999821186
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,67.09999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,d,h,374.89999997615814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,h,u,221
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,h,u,153.90000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,59.80000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,h,u,213.7000000178814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,u,i,163.40000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,u,i,103.59999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,81.59999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,u,i,185.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,i, ,223.59999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,i, ,142
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,79.80000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,i, ,221.80000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press, ,j,253.2000000178814
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press, ,j,173.40000000596046
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,71.69999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release, ,j,245.09999999403954
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,j,e,143
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,j,e,71.30000001192093
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-press,e, ,113.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-press,j, ,184.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,119.19999998807907
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",release-release,j,e,190.5
2025-04-25T09:32:16.936Z,90,59,55,80,78,"je suis amine ben etaujourdhui je suis hapyyy",press-release,,,82.09999999403954
